Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
Interaction Between L1 and Ankyrins,31-May,0.002611644,0.999995561,0,0,5.961846647,35.45972414,SPTA1;ANK2;L1CAM;ANK1;SCN1B
G Alpha (Z) Signalling Events,5/48,0.017023759,0.999995561,0,0,3.601669648,14.67012389,ADCY9;RGS20;PRKCQ;ADCY1;ADRA2B
Adrenoceptors,09-Feb,0.03070226,0.999995561,0,0,8.823877877,30.73726409,ADRB3;ADRA2B
CHL1 Interactions,09-Feb,0.03070226,0.999995561,0,0,8.823877877,30.73726409,ITGA10;ANK1
Gamma-carboxylated Protein Precursors Transport From the ER to Golgi,09-Feb,0.03070226,0.999995561,0,0,8.823877877,30.73726409,PROC;F2
Heparan Sulfate Heparin (HS-GAG) Metabolism,5/57,0.033146192,0.999995561,0,0,2.976916913,10.14184226,XYLT1;HS3ST5;GPC4;GLB1L2;HS3ST2
L1CAM Interactions,8/120,0.035798182,0.999995561,0,0,2.215205889,7.376321451,SPTA1;SHTN1;RPS6KA2;ITGA10;ANK2;L1CAM;ANK1;SCN1B
Adenylate Cyclase Activating Pathway,10-Feb,0.037590638,0.999995561,0,0,7.720494418,25.33094405,ADCY9;ADCY1
Gamma-carboxylation of Protein Precursors,10-Feb,0.037590638,0.999995561,0,0,7.720494418,25.33094405,PROC;F2
Removal of Aminoterminal Propeptides From Gamma-Carboxylated Proteins,10-Feb,0.037590638,0.999995561,0,0,7.720494418,25.33094405,PROC;F2
NCAM1 Interactions,4/42,0.042278507,0.999995561,0,0,3.256084211,10.30054562,COL5A2;CACNA1D;COL6A5;GFRA2
"Gamma-carboxylation, Transport, and Amino-Terminal Cleavage of Proteins",11-Feb,0.04500433,0.999995561,0,0,6.862307283,21.27999135,PROC;F2
Signaling by Leptin,11-Feb,0.04500433,0.999995561,0,0,6.862307283,21.27999135,SOCS3;SH2B1
Interleukin-20 Family Signaling,26-Mar,0.047075544,0.999995561,0,0,4.031393249,12.31994438,SOCS3;IL20RA;IFNLR1
Reproduction,8/127,0.047399701,0.999995561,0,0,2.084141869,6.354839021,OVGP1;SYCE1;SOX17;HVCN1;DMC1;TEX15;FKBP6;SMC1B
NCAM Signaling for Neurite Out-Growth,5/63,0.047855348,0.999995561,0,0,2.668131079,8.109977569,SPTA1;COL5A2;CACNA1D;COL6A5;GFRA2
Elastic Fibre Formation,4/44,0.048854241,0.999995561,0,0,3.09296,9.337380488,BMP2;LOXL3;LTBP4;LTBP3
Netrin-1 Signaling,4/44,0.048854241,0.999995561,0,0,3.09296,9.337380488,SIAH2;TRPC1;UNC5C;PRKCQ
Carboxyterminal Post-Translational Modifications of Tubulin,4/45,0.052341386,0.999995561,0,0,3.017365854,8.901132426,VASH2;VASH1;TPGS2;TTLL8
Interleukin-2 Signaling,12-Feb,0.052903592,0.999995561,0,0,6.175757576,18.15230573,IL2RA;IL2RG
Maturation of Nucleoprotein 9683610,12-Feb,0.052903592,0.999995561,0,0,6.175757576,18.15230573,GSK3A;PARP8
RAC2 GTPase Cycle,6/88,0.058876161,0.999995561,0,0,2.265473907,6.416544825,PREX1;DOCK3;ABI2;CYBB;SLITRK5;ARHGAP39
RAC1 GTPase Cycle,10/184,0.065976434,0.999995561,0,0,1.782351958,4.845248338,PREX1;ARHGAP31;DOCK3;ABI2;RASGRF2;FAM13A;CYBB;NOXO1;ARHGAP39;PLD1
Signaling by ALK,30-Mar,0.067108875,0.999995561,0,0,3.43343983,9.275228194,PTPRZ1;PTN;IL2RG