Species,Stage,Collection,Grouping,Author
cow,8C,vivo,3,GSE59186
cow,MII,vivo,1,GSE59186
cow,BL,vitro,6,GSE44023
cow,BL,vitro,6,GSE44023
cow,BL,vitro,6,GSE44023
cow,BL,vitro,6,GSE44023
cow,BL,vitro,6,GSE44023
cow,16C,vivo,3,GSE59186
cow,BL,vitro,6,GSE52415
cow,BL,vitro,6,GSE52415
cow,BL,vitro,6,GSE52415
cow,BL,vivo,3,GSE59186
cow,8C,vivo,3,GSE59186
cow,16C,vivo,3,GSE59186
cow,BL,vitro,6,GSE44023
cow,BL,vivo,3,GSE59186
cow,16C,vitro,5,GSE52415
cow,16C,vitro,5,GSE52415
cow,4C,vivo,2,GSE59186
cow,MII,vivo,1,GSE59186
cow,4C,vivo,2,GSE59186
cow,MII,vitro,4,GSE52415
cow,8C,vitro,4,GSE52415
cow,4C,vitro,4,GSE52415
cow,16C,vitro,5,GSE52415
cow,8C,vitro,4,GSE52415
cow,2C,vitro,4,GSE121227
cow,MII,vitro,4,GSE52415
cow,2C,vitro,4,GSE121227
cow,MII,vitro,4,GSE52415
cow,8C,vitro,4,GSE52415
cow,2C,vitro,4,GSE121227
cow,2C,vivo,2,GSE59186
cow,4C,vitro,4,GSE52415
cow,4C,vitro,4,GSE52415
cow,2C,vivo,2,GSE59186
human,4C,vitro,7,GSE71318
human,MO,vitro,8,GSE44183
human,MII,vitro,7,GSE44183
human,MII,vitro,7,GSE44183
human,MO,vitro,8,GSE44183
human,BL,vitro,8,GSE71318
human,BL,vitro,8,GSE71318
human,BL,vitro,8,GSE71318
human,4C,vitro,7,GSE44183
human,4C,vitro,7,GSE44183
human,2C,vitro,7,GSE44183
human,2C,vitro,7,GSE44183
human,MII,vitro,7,GSE44183
human,2C,vitro,7,GSE44183
human,4C,vitro,7,GSE44183
human,4C,vitro,7,GSE44183
human,8C,vitro,8,GSE71318
human,MO,vitro,8,GSE44183
human,8C,vitro,8,GSE71318
human,8C,vitro,8,GSE71318
mouse,4C,vivo,13,GSE97778
mouse,MO,vivo,15,GSE97778
mouse,8C,vitro,10,GSE159484
mouse,8C,vitro,10,GSE159484
mouse,4C,vitro,9,GSE159484
mouse,MO,vitro,10,GSE159484
mouse,MO,vitro,10,GSE159484
mouse,MO,vitro,10,GSE159484
mouse,MO,vitro,10,GSE159484
mouse,BL,vivo,15,GSE113164
mouse,MO,vivo,15,GSE97778
mouse,4C,vivo,13,GSE97778
mouse,MO,vitro,10,GSE159484
mouse,4C,vitro,9,GSE159484
mouse,BL,vivo,15,GSE113164
mouse,8C,vivo,14,GSE97778
mouse,BL,vitro,10,GSE159484
mouse,BL,vitro,10,GSE159484
mouse,BL,vitro,10,GSE159484
mouse,BL,vitro,10,GSE159484
mouse,BL,vivo,15,GSE113164
mouse,MO,vitro,10,GSE159484
mouse,8C,vivo,14,GSE97778
mouse,8C,vitro,10,GSE159484
mouse,4C,vitro,9,GSE159484
mouse,4C,vitro,9,GSE159484
mouse,8C,vitro,9,GSE159484
mouse,4C,vivo,14,GSE97778
mouse,2C,vivo,14,GSE97778
mouse,4C,vivo,14,GSE97778
mouse,2C,vivo,14,GSE97778
mouse,2C,vivo,14,GSE97778
mouse,2C,vivo,14,GSE97778
mouse,MII,vivo,13,GSE97778
mouse,MII,vivo,13,GSE97778
mouse,2C,vitro,9,GSE159484
mouse,2C,vitro,9,GSE159484
mouse,2C,vitro,9,GSE159484
mouse,2C,vitro,9,GSE159484